number,url,race,subrace,gender,haircolor,skincolor,clothing,hairstyle,weapon,exoskeleton,accessory
29,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/29.png,Human,Warrior,Female,Black,White,Battle Armor,Long,Crescent Blade,,Helmet
30,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/30.png,Humanoid,Frostborn,Male,Ice Blue,Snow White,Ice Crystal Armor,Snowflake Crown,Ice Scale Shield,,Frost Flower Ring
31,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/31.png,Human,Cultivator,Male,Blonde,White,Monastic Habit,Long,Daoist Sword,,
32,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/32.png,Human,Cultivator,Female,Blonde,Yellow,Taoist Robe,Short,Kris,,Cloak
33,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/33.png,Humanoid,Nightshade,Female,Fluorescent Purple,Light Green,Night Cloak,Messy Tousle,Shadow Blade,Eclipsion Wings,Night Crystal Necklace
34,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/34.png,Human,Mage,Female,Purple,Yellow,Wizard Robe,Magic Flame Bun,Crystal Ball,,Magic Ring
35,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/35.png,Humanoid,Pyronians,Male,Orange,Reddish Bronze,Blazing Golden Robe,Flame-style Curly,Fire Chain,,Fire Crystal Earrings
36,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/36.png,Human,Warrior,Female,Blonde,Bronze,Battle Armor,Long,Crescent Blade,,
37,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/37.png,Human,Mage,Female,Purple,Rose Pink,Mystic Robe,Magic Flame Bun,Magic Staff,,
38,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/38.png,Human,Cultivator,Male,Brown,White,Monastic Habit,Braids,Dharma Wheel,,Cloak
39,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/39.png,Humanoid,Winged,Female,Sky Blue,Cloud White,Velvet Robe,Bun,Longbow,Blue Wings,Gem Bracelet
40,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/40.png,Humanoid,Frostborn,Male,Ice Blue,Ice Blue,Frost Patterned Jacket,Ice Crystal Curly,Ice Crystal Sword,,Ice Crystal Bracelet
41,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/41.png,Humanoid,Frostborn,Male,Ice Blue,Snow White,Snowflake Long Skirt,Long Straight,Snowflake Dart,,Ice Crystal Bracelet
42,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/42.png,Human,Mage,Male,Dawn Red,Rose Pink,Mystic Robe,Twin Braids,Magic Staff,,
43,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/43.png,Humanoid,Nightshade,Female,Fluorescent Purple,Grayish White,Night Robe,Straight,Night Dagger,Lumina Wings,Night Crystal Necklace
44,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/44.png,Humanoid,Nightshade,Male,Fluorescent Deep Blue,White,Night Robe,Messy Tousle,Night Dart,Eclipsion Wings,Shadow Earrings
45,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/45.png,Humanoid,Frostborn,Male,Light Purple,Snow White,Snowflake Long Skirt,Long Straight,Ice Crystal Sword,,Ice Earrings
46,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/46.png,Human,Cultivator,Male,White,Yellow,Monastic Habit,Long,Daoist Sword,,Hairpin
47,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/47.png,Human,Warrior,Male,Blonde,Bronze,Samurai Robe,Short,Crescent Blade,,
48,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/48.png,Humanoid,Nightshade,Female,Fluorescent Deep Blue,Light Green,Shadow Patterned Clothes,Messy Tousle,Starry Night Staff,Lumina Wings,Night Crystal Necklace
49,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/49.png,Human,Cultivator,Female,Blonde,Yellow,Monastic Habit,Bun,Mace,,Cloak
50,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/50.png,Humanoid,Pyronians,Male,Fire Red,Reddish Bronze,Blazing Golden Robe,Flame-style Curly,Fire Chain,,Flame Necklace
51,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/51.png,Humanoid,Pyronians,Male,Orange,Reddish Bronze,Blazing Golden Robe,Wavy,Fire Chain,,Fire Ring
52,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/52.png,Human,Cultivator,Female,White,Yellow,Taoist Robe,Braids,Mace,,Cloak
53,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/53.png,Humanoid,Frostborn,Male,Ice Blue,Snow White,Ice Crystal Armor,Snowflake Crown,Snowflake Dart,,Ice Crystal Bracelet
54,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/54.png,Human,Warrior,Male,Black,White,Leather Armor,Ponytail,Battle Axe,,
55,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/55.png,Human,Warrior,Male,Blonde,White,Leather Armor,Samurai Bun,Battle Axe,,
56,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/56.png,Human,Warrior,Female,Black,Bronze,Battle Armor,Long,Katana,,Helmet
57,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/57.png,Humanoid,Winged,Male,Sky Blue,Cloud White,Gauze Dress,Braided Feather Crown,Longbow,Blue Wings,Feather Earrings
58,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/58.png,Humanoid,Winged,Female,Sky Blue,Cloud White,Gauze Dress,Braided Feather Crown,Longbow,Blue Wings,Feather Earrings
59,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/59.png,Humanoid,Frostborn,Female,Light Purple,Ice Blue,Snowflake Long Skirt,Ice Crystal Curly,Snowflake Dart,,Frost Flower Ring
60,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/60.png,Human,Mage,Female,Purple,Rose Pink,Wizard Robe,Stardust Long,Spellbook,,Magic Ring
61,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/61.png,Human,Cultivator,Male,Brown,Yellow,Monastic Habit,Long,Chain,,
62,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/62.png,Humanoid,Pyronians,Male,Fire Red,Reddish Bronze,Fire Patterned Armor,Flame-style Curly,Flaming Crossbow,,Fire Crystal Earrings
63,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/63.png,Human,Mage,Female,Dawn Red,White,Mystic Robe,Short,Spellbook,,
64,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/64.png,Human,Techie,Female,Metallic Silver,White,Electromagnetic Armor,Braid,Sonic Cannon,,
65,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/65.png,Humanoid,Pyronians,Female,Orange,Orange Yellow,Fire Patterned Armor,Wavy,Sunfire Bow,,Fire Crystal Earrings
66,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/66.png,Human,Cultivator,Male,Brown,White,Monastic Habit,Long,Chain,,
67,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/67.png,Human,Cultivator,Female,Brown,Yellow,Monastic Habit,Long,Mace,,
68,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/68.png,Humanoid,Pyronians,Male,Orange,Reddish Bronze,Fire Patterned Armor,Wavy,Sunfire Bow,,Fire Ring
69,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/69.png,Human,Techie,Female,Metallic Silver,Yellow,Fly Armor,Short,Electromagnetic Gun,,
70,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/70.png,Human,Mage,Male,Dawn Red,White,Mystic Robe,Twin Braids,Magic Circle,,Magic Ring
71,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/71.png,Humanoid,Frostborn,Male,Ice Blue,Snow White,Ice Crystal Armor,Ice Crystal Curly,Snowflake Dart,,Frost Flower Ring
72,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/72.png,Human,Warrior,Male,Blonde,Bronze,Battle Armor,Long,Katana,,
73,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/73.png,Human,Cultivator,Male,Blonde,Yellow,Taoist Robe,Braids,Mace,,Pendant
74,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/74.png,Humanoid,Winged,Male,Moon Silver,Cloud White,Gauze Dress,Braided Feather Crown,Dart,White Wings,Gem Bracelet
75,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/75.png,Human,Cultivator,Male,Blonde,Yellow,Monastic Habit,Long,Daoist Sword,,
76,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/76.png,Humanoid,Pyronians,Male,Fire Red,Reddish Bronze,Fire Patterned Armor,Flame-style Curly,Fire Chain,,Flame Necklace
77,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/77.png,Human,Cultivator,Female,Blonde,Yellow,Taoist Robe,Long,Daoist Sword,,Prayer Beads
78,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/78.png,Human,Techie,Female,Metallic Gold,Yellow,Fly Armor,Mohawk,Missile Bow,,
79,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/79.png,Humanoid,Pyronians,Male,Orange,Orange Yellow,Blazing Golden Robe,Ponytail,Rockfire Hammer,,Fire Ring
80,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/80.png,Humanoid,Pyronians,Female,Fire Red,Reddish Bronze,Fire Patterned Armor,Ponytail,Sunfire Bow,,Fire Crystal Earrings
81,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/81.png,Human,Cultivator,Female,Blonde,White,Monastic Habit,Braids,Daoist Sword,,Cloak
82,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/82.png,Humanoid,Pyronians,Male,Fire Red,Orange Yellow,Blazing Golden Robe,Short Bob,Fire Chain,,Fire Ring
83,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/83.png,Human,Mage,Male,Blue,White,Mystic Robe,Short,Magic Circle,,Pendant Chain
84,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/84.png,Human,Techie,Female,Metallic Gold,White,Power Armor,Mohawk,Missile Bow,,
85,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/85.png,Human,Warrior,Female,Black,White,Leather Armor,Long,Katana,,
86,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/86.png,Human,Warrior,Female,Black,Bronze,Samurai Robe,Ponytail,Bow And Arrow,,Cloak
87,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/87.png,Human,Warrior,Male,Black,Bronze,Leather Armor,Long,Tang Sword,,
88,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/88.png,Human,Warrior,Male,Blonde,White,Leather Armor,Short,Battle Axe,,Helmet
89,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/89.png,Human,Mage,Male,Dawn Red,Yellow,Mystic Robe,Magic Flame Bun,Elemental Scepter,,Pendant Chain
90,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/90.png,Human,Techie,Female,Metallic Silver,White,Fly Armor,Braid,Energy Sword,,
91,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/91.png,Human,Warrior,Female,Brown,White,Leather Armor,Samurai Bun,Katana,,
92,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/92.png,Human,Warrior,Male,Brown,White,Samurai Robe,Ponytail,Spear,,
93,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/93.png,Human,Cultivator,Male,Brown,White,Taoist Robe,Braids,Chain,,
94,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/94.png,Human,Cultivator,Female,Blonde,White,Taoist Robe,Bun,Mace,,
95,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/95.png,Human,Techie,Male,Metallic Gold,Yellow,Electromagnetic Armor,Mohawk,Sonic Cannon,,
96,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/96.png,Human,Mage,Female,Dawn Red,Yellow,Mystic Robe,Magic Flame Bun,Magic Circle,,Magic Ring
97,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/97.png,Human,Techie,Male,Metallic Silver,Yellow,Electromagnetic Armor,Mohawk,Energy Sword,,
98,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/98.png,Human,Mage,Female,Dawn Red,Yellow,Wizard Robe,Magic Flame Bun,Elemental Scepter,,Pendant Chain
99,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/99.png,Human,Warrior,Male,Black,White,Battle Armor,Short,Spear,,Cloak
100,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/100.png,Human,Techie,Female,Metallic Silver,White,Electromagnetic Armor,Mohawk,Electromagnetic Gun,,
101,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/101.png,Humanoid,Pyronians,Female,Fire Red,Reddish Bronze,Fire Patterned Armor,Wavy,Fire Chain,,Fire Crystal Earrings
102,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/102.png,Humanoid,Frostborn,Female,Ice Blue,Snow White,Ice Crystal Armor,Long Straight,Snowy Wand,,Ice Earrings
103,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/103.png,Human,Mage,Male,Purple,Yellow,Wizard Robe,Twin Braids,Elemental Scepter,,
104,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/104.png,Human,Cultivator,Male,White,Yellow,Taoist Robe,Long,Kris,,Cloak
105,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/105.png,Human,Techie,Male,Metallic Gold,White,Fly Armor,Mohawk,Missile Bow,,
106,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/106.png,Human,Techie,Male,Metallic Silver,White,Power Armor,Mohawk,Missile Bow,,
107,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/107.png,Humanoid,Frostborn,Female,Light Purple,Snow White,Ice Crystal Armor,Snowflake Crown,Ice Crystal Sword,,Ice Earrings
108,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/108.png,Human,Warrior,Male,Black,White,Battle Armor,Samurai Bun,Spear,,
109,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/109.png,Human,Techie,Male,Black,White,Electromagnetic Armor,Short,Missile Bow,,
110,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/110.png,Human,Techie,Male,Metallic Silver,White,Fly Armor,Mohawk,Missile Bow,,
111,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/111.png,Humanoid,Pyronians,Female,Fire Red,Orange Yellow,Blazing Golden Robe,Ponytail,Flaming Crossbow,,Flame Necklace
112,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/112.png,Humanoid,Pyronians,Female,Orange,Reddish Bronze,Fire Patterned Armor,Wavy,Rockfire Hammer,,Fire Ring
113,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/113.png,Humanoid,Frostborn,Female,Light Purple,Snow White,Frost Patterned Jacket,Snowflake Crown,Ice Scale Shield,,Ice Crystal Bracelet
114,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/114.png,Humanoid,Frostborn,Male,Light Purple,Ice Blue,Frost Patterned Jacket,Ice Crystal Curly,Ice Crystal Sword,,Ice Crystal Bracelet
